merchant_id,region,city,category,tenure_days,avg_ticket,monthly_income,repeat_customer_rate,platform_commission_pct,kyc_flag,payment_success_rate,transaction_velocity,multi_product_adoption,digital_tool_usage,ai_adoption_score,agent_usage_flag,treatment_flag,treatment_start_month,intervention_timestamp
UC00000036,North,Delhi NCR,appliance_repair,732,1038.54,55723.98,0.3726,0.2334,True,0.9665,57.73,5,0.9276,0.6009,True,False,0,
UC00000037,West,Pune,beauty_wellness,227,1154.04,18322.73,0.3513,0.2687,True,0.9611,17.26,3,0.5953,0.2768,False,False,0,
UC00000038,South,Chennai,plumbing_electrical,545,827.23,38551.0,0.4962,0.1874,True,0.9323,43.83,3,0.7263,0.5172,False,True,4,2024-04-01
UC00000039,West,Pune,appliance_repair,237,920.2,28896.88,0.4964,0.2185,True,0.9198,35.96,5,0.6414,0.5663,True,True,7,2024-07-01
UC00000040,North,Delhi NCR,plumbing_electrical,540,940.51,49434.27,0.4763,0.12,False,0.9897,49.06,3,0.5917,0.3646,True,False,0,
UC00000041,West,Pune,appliance_repair,562,503.13,11083.43,0.3904,0.2203,True,0.9832,19.78,2,0.454,0.4943,False,False,0,
UC00000042,West,Ahmedabad,salon_spa_premium,774,1059.47,37473.78,0.4895,0.2244,True,0.9595,40.49,2,0.5371,0.3265,False,True,2,2024-02-01
UC00000043,North,Lucknow,salon_spa_premium,486,1464.53,56376.59,0.3928,0.2941,True,0.9368,37.21,2,0.2788,0.5431,False,True,4,2024-04-01
UC00000044,South,Hyderabad,beauty_wellness,415,1183.3,51145.04,0.496,0.2913,True,0.914,41.84,3,0.6887,0.5136,False,True,2,2024-02-01
UC00000045,West,Surat,appliance_repair,420,618.21,21406.78,0.3398,0.2044,True,0.932,41.5,3,0.5826,0.2801,False,False,0,
UC00000046,North,Chandigarh,beauty_wellness,116,929.77,7772.51,0.4201,0.2222,True,0.9689,8.58,4,0.771,0.5947,False,True,7,2024-07-01
UC00000047,West,Ahmedabad,plumbing_electrical,799,925.31,29262.25,0.4187,0.1691,True,0.9485,30.27,4,0.764,0.7635,False,True,5,2024-05-01
UC00000048,West,Pune,beauty_wellness,51,870.04,6427.86,0.2942,0.235,True,0.9829,8.87,3,0.6662,0.3786,False,False,0,
UC00000049,South,Bengaluru,home_cleaning,405,1445.63,68433.76,0.4238,0.2147,True,0.9267,41.84,2,0.4918,0.5238,False,False,0,
UC00000050,North,Delhi NCR,beauty_wellness,132,1386.07,59511.63,0.2807,0.212,True,0.9647,39.24,5,0.7093,0.5916,True,True,6,2024-06-01
UC00000051,North,Delhi NCR,beauty_wellness,115,1280.4,62959.66,0.2068,0.2425,True,0.9416,52.68,4,0.9569,0.6983,False,True,6,2024-06-01
UC00000052,North,Chandigarh,home_cleaning,958,1723.61,74141.87,0.6114,0.2359,True,0.9615,44.07,5,0.7756,0.6378,True,False,0,
UC00000053,North,Lucknow,plumbing_electrical,1306,745.94,32493.26,0.5454,0.1527,True,0.9549,51.27,4,0.6772,0.4137,True,True,6,2024-06-01
UC00000054,East,Bhubaneswar,beauty_wellness,562,1003.33,20840.22,0.3678,0.2087,True,0.9823,23.28,4,0.6949,0.3264,True,True,4,2024-04-01
UC00000055,North,Chandigarh,beauty_wellness,247,1129.26,46964.34,0.5174,0.2367,False,0.9234,38.51,2,0.5153,0.4703,True,False,0,
UC00000056,West,Pune,beauty_wellness,585,1106.14,47781.71,0.3969,0.2759,True,0.9127,39.68,3,0.7692,0.4359,False,False,0,
UC00000057,South,Hyderabad,appliance_repair,1000,933.15,42239.97,0.4531,0.1812,True,0.9487,53.77,4,0.6826,0.7285,False,False,0,
UC00000058,East,Kolkata,plumbing_electrical,445,765.79,55017.97,0.3587,0.2042,False,0.9435,68.64,2,0.4611,0.5388,True,False,0,
UC00000059,North,Delhi NCR,plumbing_electrical,218,689.49,22677.5,0.4873,0.1464,True,0.9311,36.41,4,0.65,0.4978,True,True,8,2024-08-01
UC00000060,East,Bhubaneswar,appliance_repair,77,803.6,30087.14,0.4111,0.2237,False,0.9653,31.94,2,0.3682,0.2383,True,False,0,
UC00000061,West,Mumbai,plumbing_electrical,249,626.49,19472.49,0.5126,0.1631,True,0.9629,37.3,3,0.8141,0.3945,False,True,8,2024-08-01
UC00000062,South,Bengaluru,salon_spa_premium,1533,1214.73,47697.83,0.4752,0.2699,True,0.992,36.18,4,0.6422,0.6841,False,True,2,2024-02-01
UC00000063,West,Mumbai,beauty_wellness,377,1077.42,30481.66,0.6101,0.2358,True,0.9693,29.41,5,0.725,0.5542,True,False,0,
UC00000064,West,Surat,beauty_wellness,698,1029.79,40607.01,0.4787,0.2622,True,0.9693,48.29,5,0.8362,0.6459,True,False,0,
UC00000065,East,Guwahati,plumbing_electrical,102,785.96,14447.47,0.5284,0.1679,True,0.9599,22.19,5,0.6648,0.5532,True,True,8,2024-08-01
UC00000066,West,Ahmedabad,beauty_wellness,151,879.3,34664.84,0.3685,0.2373,True,0.9858,46.92,3,0.7289,0.4156,False,True,6,2024-06-01
UC00000067,South,Chennai,home_cleaning,645,1523.43,72407.13,0.5149,0.1849,True,0.9944,44.38,4,0.6973,0.4881,True,True,3,2024-03-01
UC00000068,West,Ahmedabad,home_cleaning,601,1488.78,52146.25,0.4408,0.2018,True,0.9754,37.78,5,0.7444,0.5654,True,True,4,2024-04-01
UC00000069,South,Chennai,beauty_wellness,172,934.83,13751.85,0.297,0.2413,True,0.9642,16.48,4,0.6529,0.5768,False,False,0,
UC00000070,North,Jaipur,plumbing_electrical,364,706.49,22923.65,0.5392,0.1851,True,0.9831,36.15,3,0.7398,0.4878,False,True,8,2024-08-01
UC00000071,West,Surat,salon_spa_premium,224,1965.46,66285.67,0.319,0.2466,False,0.9295,34.28,1,0.3841,0.4365,False,False,0,
UC00000072,South,Hyderabad,home_cleaning,1147,1581.58,58253.79,0.4921,0.2564,True,0.9359,39.08,5,0.9084,0.5888,True,True,2,2024-02-01
UC00000073,South,Kochi,beauty_wellness,413,997.26,15013.5,0.4486,0.273,True,0.9503,16.82,5,0.5628,0.6461,True,False,0,
UC00000074,South,Bengaluru,salon_spa_premium,352,1113.42,45387.2,0.3595,0.2602,True,0.9569,43.88,3,0.7418,0.4727,False,True,3,2024-03-01
UC00000075,North,Lucknow,salon_spa_premium,1015,1933.36,84096.25,0.383,0.2775,True,0.9902,40.99,4,0.5198,0.6411,True,False,0,
UC00000076,South,Hyderabad,salon_spa_premium,509,2130.8,65653.57,0.3377,0.2713,True,0.9482,30.91,4,0.5983,0.4664,True,True,2,2024-02-01
UC00000077,South,Bengaluru,beauty_wellness,64,989.49,23052.29,0.3706,0.2722,True,1.0,28.06,3,0.7223,0.5176,False,True,5,2024-05-01
UC00000078,West,Mumbai,beauty_wellness,480,1158.81,31322.77,0.5364,0.2446,False,0.945,31.32,2,0.6874,0.466,False,False,0,
UC00000079,South,Kochi,salon_spa_premium,143,1561.96,53237.84,0.2974,0.2385,True,0.9336,34.43,5,0.8938,0.5599,True,True,3,2024-03-01
UC00000080,West,Mumbai,home_cleaning,447,1206.17,40373.98,0.4714,0.187,True,0.921,36.84,5,0.6148,0.575,True,False,0,
UC00000081,East,Bhubaneswar,beauty_wellness,430,1281.73,34750.58,0.6212,0.289,True,0.9205,31.67,4,0.5428,0.644,True,False,0,
UC00000082,West,Mumbai,beauty_wellness,291,886.16,20864.99,0.4421,0.2622,True,0.9231,25.67,4,0.7017,0.4447,True,True,5,2024-05-01
UC00000083,North,Lucknow,beauty_wellness,1061,1346.83,61162.65,0.4078,0.2531,True,0.9402,39.26,4,0.5569,0.5708,False,False,0,
UC00000084,East,Bhubaneswar,appliance_repair,49,918.67,20723.63,0.4425,0.2155,True,0.9478,27.57,4,0.8412,0.4608,True,False,0,
UC00000085,West,Ahmedabad,salon_spa_premium,93,1107.43,51286.01,0.3106,0.2675,True,0.9968,45.22,3,0.5316,0.5368,True,False,0,
UC00000086,North,Lucknow,home_cleaning,789,1434.14,52704.73,0.5339,0.2363,True,0.9717,36.14,5,0.8966,0.8169,True,True,6,2024-06-01
UC00000087,West,Mumbai,beauty_wellness,1237,999.85,53305.79,0.316,0.2599,True,1.0,50.25,3,0.7445,0.4377,False,True,3,2024-03-01
UC00000088,West,Mumbai,beauty_wellness,356,1109.26,56099.53,0.3534,0.2111,True,0.9769,45.92,3,0.7216,0.2924,False,False,0,
UC00000089,West,Surat,appliance_repair,1010,777.02,18166.62,0.4247,0.2101,True,0.9259,23.34,5,0.9219,0.641,True,False,0,
UC00000090,South,Bengaluru,appliance_repair,468,898.04,40986.23,0.2731,0.1969,True,0.9572,43.94,2,0.4175,0.2823,False,True,6,2024-06-01
UC00000091,South,Kochi,beauty_wellness,727,1000.82,25048.59,0.5047,0.2268,False,0.9706,27.92,3,0.9073,0.6839,False,False,0,
UC00000092,East,Kolkata,salon_spa_premium,163,1974.31,97955.95,0.3605,0.2473,True,0.9116,56.65,4,0.5968,0.4314,True,True,7,2024-07-01
UC00000093,West,Mumbai,beauty_wellness,191,1336.5,66926.65,0.4841,0.2501,False,0.9453,46.27,2,0.6335,0.5384,False,False,0,
UC00000094,East,Patna,plumbing_electrical,30,670.36,9667.0,0.5082,0.1528,True,0.9395,14.89,2,0.5241,0.3567,False,False,0,
UC00000095,North,Delhi NCR,salon_spa_premium,703,1918.71,32926.07,0.4257,0.2549,True,0.9723,19.23,4,0.6395,0.6063,False,True,2,2024-02-01
UC00000096,South,Bengaluru,plumbing_electrical,1659,926.97,40004.26,0.78,0.2049,False,0.9521,51.68,3,0.6946,0.5695,False,False,0,
UC00000097,West,Ahmedabad,appliance_repair,803,987.48,48302.14,0.3763,0.1783,True,0.8829,44.24,3,0.6733,0.5331,False,False,0,
UC00000098,West,Pune,home_cleaning,604,1910.39,53676.33,0.6797,0.2579,True,0.9545,34.06,3,0.6834,0.4986,False,False,0,
UC00000099,South,Hyderabad,appliance_repair,1713,1224.92,49793.58,0.4979,0.1787,True,0.9282,41.8,4,0.8879,0.69,False,False,0,
UC00000100,North,Lucknow,beauty_wellness,952,530.1,15895.75,0.6954,0.2036,True,0.9666,35.66,5,0.951,0.7296,True,True,4,2024-04-01
UC00000101,South,Chennai,beauty_wellness,828,1125.52,38527.59,0.4697,0.2244,True,0.9283,37.78,3,0.6815,0.4156,False,True,2,2024-02-01
UC00000102,South,Hyderabad,plumbing_electrical,297,759.45,23556.59,0.2023,0.1789,True,0.98,33.46,4,0.7063,0.5408,True,True,6,2024-06-01
UC00000103,West,Mumbai,plumbing_electrical,275,643.27,9652.17,0.1356,0.1741,True,0.951,13.14,5,0.6107,0.618,True,False,0,
UC00000104,West,Pune,home_cleaning,585,1077.26,55856.0,0.5199,0.1778,False,0.9527,61.58,4,0.871,0.5899,True,False,0,
UC00000105,North,Lucknow,salon_spa_premium,96,1909.45,66961.11,0.3182,0.2455,True,0.9698,37.78,3,0.4209,0.3188,True,False,0,
UC00000106,South,Bengaluru,salon_spa_premium,523,1264.2,28147.85,0.3218,0.2641,True,0.9603,23.6,2,0.4699,0.4406,False,False,0,
UC00000107,West,Surat,beauty_wellness,485,540.74,18778.34,0.4186,0.2538,True,0.9793,39.2,3,0.6274,0.3121,False,True,4,2024-04-01
UC00000108,North,Delhi NCR,home_cleaning,144,1216.54,45766.03,0.4281,0.226,True,0.9858,38.99,4,0.5669,0.4557,True,True,7,2024-07-01
UC00000109,North,Delhi NCR,home_cleaning,663,1380.34,38546.98,0.4284,0.2189,True,0.9112,30.86,5,0.6254,0.5784,True,True,4,2024-04-01
UC00000110,West,Mumbai,beauty_wellness,490,1320.37,53926.06,0.2,0.2798,True,0.9648,39.44,3,0.8477,0.4596,False,False,0,
UC00000111,North,Lucknow,salon_spa_premium,97,1703.15,59269.59,0.4411,0.1996,True,0.9799,31.33,2,0.4256,0.4028,False,False,0,
UC00000112,West,Ahmedabad,salon_spa_premium,1032,1553.46,44495.34,0.5335,0.216,True,0.9546,33.01,5,0.6853,0.8464,True,True,2,2024-02-01
UC00000113,West,Surat,beauty_wellness,553,1114.85,28641.99,0.2816,0.2434,True,0.9638,27.02,3,0.5866,0.2978,False,True,2,2024-02-01
UC00000114,South,Bengaluru,beauty_wellness,210,1332.54,34672.36,0.3495,0.2462,True,0.9572,29.42,3,0.8439,0.5261,False,True,4,2024-04-01
UC00000115,South,Chennai,salon_spa_premium,170,1523.01,84801.91,0.4193,0.2318,True,1.0,64.13,3,0.7467,0.2655,False,True,4,2024-04-01
UC00000116,West,Ahmedabad,beauty_wellness,423,526.58,19380.13,0.3257,0.2432,False,0.9624,40.74,2,0.4494,0.4961,True,False,0,
UC00000117,North,Delhi NCR,salon_spa_premium,954,1342.6,41825.18,0.4898,0.2577,True,0.9805,29.77,3,0.706,0.3924,False,False,0,
UC00000118,West,Mumbai,plumbing_electrical,513,965.93,36655.74,0.5041,0.1606,True,0.9403,42.62,4,0.7878,0.5212,True,True,6,2024-06-01
UC00000119,East,Kolkata,appliance_repair,939,1209.09,75243.27,0.4914,0.1706,True,0.9505,60.18,3,0.5639,0.3739,False,True,7,2024-07-01
UC00000120,North,Delhi NCR,home_cleaning,2140,1350.48,43168.9,0.4882,0.2627,True,0.9315,31.23,3,0.7824,0.4975,False,False,0,
UC00000121,South,Bengaluru,appliance_repair,740,1082.93,16242.66,0.5638,0.1585,True,0.9517,17.78,4,0.7926,0.5576,False,False,0,
UC00000122,West,Mumbai,salon_spa_premium,343,1868.13,56461.65,0.4273,0.212,True,0.9094,32.54,3,0.7268,0.549,False,False,0,
UC00000123,North,Delhi NCR,beauty_wellness,533,1202.8,54503.68,0.4131,0.1873,False,0.962,47.88,3,0.8076,0.6674,False,False,0,
UC00000124,West,Surat,salon_spa_premium,404,1721.82,38523.52,0.4828,0.2622,True,0.9408,22.46,5,0.6181,0.6757,True,True,2,2024-02-01
UC00000125,North,Delhi NCR,salon_spa_premium,160,1712.42,31843.09,0.4639,0.244,True,0.9399,22.83,5,0.6886,0.5985,True,True,7,2024-07-01
UC00000126,North,Chandigarh,beauty_wellness,146,800.54,44213.74,0.4252,0.2439,True,0.9805,52.86,4,0.7483,0.4995,True,True,6,2024-06-01
UC00000127,South,Chennai,appliance_repair,203,1003.26,52380.92,0.2399,0.2181,True,0.9623,55.85,3,0.6247,0.5034,False,False,0,
UC00000128,South,Chennai,plumbing_electrical,678,559.03,11187.02,0.4287,0.1655,True,0.946,23.19,3,0.7951,0.5377,False,True,6,2024-06-01
UC00000129,North,Chandigarh,beauty_wellness,710,1057.45,44076.4,0.5024,0.2205,True,0.8824,37.96,3,0.7432,0.2199,False,False,0,
UC00000130,West,Pune,beauty_wellness,136,1286.19,16642.68,0.3896,0.2102,False,0.8937,12.82,2,0.4675,0.5211,True,False,0,
UC00000131,West,Surat,plumbing_electrical,154,694.01,13691.6,0.3169,0.1481,True,0.906,21.02,2,0.4429,0.1453,False,True,8,2024-08-01
UC00000132,South,Bengaluru,beauty_wellness,1491,1106.44,18063.75,0.5672,0.2144,True,0.9584,14.79,4,0.5717,0.4974,True,True,2,2024-02-01
UC00000133,West,Mumbai,beauty_wellness,271,1104.83,36325.1,0.4898,0.2341,True,0.9781,35.29,5,0.7539,0.7564,True,False,0,
UC00000134,North,Delhi NCR,beauty_wellness,655,921.1,32424.1,0.3742,0.2328,True,0.9648,35.39,4,0.6023,0.407,True,True,4,2024-04-01
UC00000135,East,Kolkata,appliance_repair,504,913.81,34871.34,0.6574,0.1887,True,0.9869,35.25,5,0.7534,0.5945,True,True,8,2024-08-01
UC00000136,North,Jaipur,plumbing_electrical,713,1019.89,37574.67,0.4752,0.1793,True,0.9388,43.96,5,0.7428,0.6271,True,True,6,2024-06-01
UC00000137,North,Jaipur,salon_spa_premium,135,711.28,26439.1,0.5258,0.2477,True,0.9436,37.39,4,0.6051,0.4927,True,True,5,2024-05-01
UC00000138,North,Lucknow,beauty_wellness,850,1490.78,36992.8,0.375,0.2565,True,0.9257,26.71,4,0.6528,0.4015,True,False,0,
UC00000139,North,Delhi NCR,plumbing_electrical,493,611.29,9338.55,0.3255,0.1438,True,0.9544,15.04,4,0.7495,0.6075,False,False,0,
UC00000140,South,Bengaluru,salon_spa_premium,413,1165.37,13419.08,0.4315,0.2278,True,0.9686,13.03,3,0.7357,0.293,False,False,0,
UC00000141,North,Delhi NCR,plumbing_electrical,899,682.85,18791.74,0.5267,0.1849,True,0.9787,30.9,4,0.7646,0.6873,False,False,0,
UC00000142,North,Chandigarh,beauty_wellness,1190,655.67,14766.12,0.4843,0.2272,True,0.9623,26.28,3,0.5001,0.3888,True,False,0,
UC00000143,North,Jaipur,beauty_wellness,656,1064.42,42877.11,0.5301,0.2539,True,0.9584,35.75,2,0.5441,0.4857,False,False,0,
UC00000144,West,Pune,home_cleaning,923,2198.11,76700.68,0.4027,0.2112,True,0.9589,32.6,4,0.8494,0.6667,False,False,0,
UC00000145,East,Kolkata,appliance_repair,274,652.04,25197.43,0.4232,0.1984,True,0.968,44.74,2,0.5192,0.3183,False,False,0,
UC00000146,West,Pune,plumbing_electrical,269,530.09,25845.23,0.4704,0.2112,True,0.9307,48.29,2,0.4783,0.3401,False,False,0,
UC00000147,West,Pune,beauty_wellness,594,1160.64,39639.77,0.4087,0.293,True,0.9515,39.23,2,0.4442,0.3093,False,False,0,
UC00000148,North,Delhi NCR,home_cleaning,680,1152.06,24758.63,0.4729,0.1736,True,0.9449,24.49,4,0.7372,0.5399,True,True,5,2024-05-01
UC00000149,South,Hyderabad,appliance_repair,929,754.21,25450.11,0.4398,0.2198,False,0.9459,42.14,4,0.8229,0.8302,True,False,0,
UC00000150,South,Hyderabad,plumbing_electrical,133,561.7,22141.7,0.2848,0.1859,True,0.9718,37.64,5,0.7882,0.8236,True,False,0,
UC00000151,North,Delhi NCR,plumbing_electrical,230,692.96,20950.32,0.3751,0.2107,True,0.9372,33.24,4,0.5085,0.5534,True,False,0,
UC00000152,South,Bengaluru,beauty_wellness,974,1030.56,43136.39,0.5916,0.2104,True,0.9004,44.67,4,0.7935,0.7359,False,True,2,2024-02-01
UC00000153,North,Delhi NCR,beauty_wellness,651,1189.94,38172.05,0.4068,0.2504,True,0.8839,34.32,5,0.8179,0.7096,True,True,4,2024-04-01
UC00000154,North,Delhi NCR,appliance_repair,74,852.8,35256.57,0.4341,0.2091,True,0.9762,52.15,5,1.0,0.7702,True,True,8,2024-08-01
UC00000155,North,Lucknow,beauty_wellness,973,1641.68,37172.79,0.4575,0.2277,True,0.9336,24.19,2,0.2379,0.3036,False,True,2,2024-02-01
UC00000156,West,Pune,salon_spa_premium,567,1806.11,101226.67,0.4926,0.2692,True,0.9705,52.97,5,0.7994,0.8562,True,True,2,2024-02-01
UC00000157,West,Mumbai,beauty_wellness,42,539.52,24202.3,0.4846,0.2174,True,0.9615,53.89,4,0.7763,0.5474,True,False,0,
UC00000158,East,Kolkata,plumbing_electrical,812,665.79,6477.52,0.5514,0.1558,True,0.9704,11.64,4,0.5655,0.6753,False,False,0,
UC00000159,South,Chennai,salon_spa_premium,181,1757.03,63283.61,0.5572,0.2992,False,0.9769,38.67,2,0.5975,0.5355,False,False,0,
UC00000160,North,Jaipur,beauty_wellness,786,995.16,28734.28,0.4319,0.179,True,0.9467,33.25,2,0.5429,0.4887,False,True,2,2024-02-01
UC00000161,South,Hyderabad,home_cleaning,739,935.18,38451.33,0.4576,0.171,True,0.9231,41.39,2,0.4834,0.4915,False,False,0,
UC00000162,North,Delhi NCR,appliance_repair,697,1055.84,43502.79,0.3709,0.1588,True,0.9341,38.8,3,0.6636,0.2488,False,True,5,2024-05-01
UC00000163,South,Bengaluru,plumbing_electrical,944,565.9,15264.11,0.2522,0.1335,True,0.9915,30.08,5,0.9279,0.6125,True,True,4,2024-04-01
UC00000164,West,Surat,appliance_repair,1368,1065.79,23727.55,0.5077,0.176,True,0.9751,22.4,2,0.41,0.3349,False,False,0,
UC00000165,East,Patna,appliance_repair,221,1022.06,55134.32,0.3587,0.2192,True,0.9332,63.8,3,0.5543,0.4121,False,False,0,
UC00000166,West,Ahmedabad,home_cleaning,302,836.69,18981.75,0.3981,0.1903,True,0.9697,20.38,2,0.5255,0.3987,False,False,0,
UC00000167,South,Kochi,beauty_wellness,592,841.25,30521.54,0.4669,0.2591,True,0.9623,38.24,3,0.9265,0.5408,False,True,2,2024-02-01
UC00000168,North,Jaipur,appliance_repair,814,849.53,33110.54,0.547,0.181,True,0.9513,48.55,4,1.0,0.676,False,False,0,
UC00000169,South,Bengaluru,beauty_wellness,892,1330.08,64332.04,0.515,0.2626,True,0.9764,46.02,4,0.6525,0.743,False,False,0,
UC00000170,North,Jaipur,plumbing_electrical,1125,391.93,14052.4,0.4836,0.135,True,0.986,33.84,5,0.7594,0.5896,True,True,5,2024-05-01
UC00000171,North,Jaipur,home_cleaning,560,1394.01,73033.35,0.28,0.2354,False,0.9595,46.78,2,0.5924,0.5435,False,False,0,
UC00000172,South,Bengaluru,beauty_wellness,1505,1164.95,20671.16,0.5039,0.1879,True,0.993,16.32,4,0.6837,0.331,True,False,0,
UC00000173,South,Kochi,salon_spa_premium,1063,2130.76,49844.83,0.5421,0.2148,True,0.9696,26.72,5,1.0,0.7799,True,False,0,
UC00000174,South,Hyderabad,home_cleaning,222,1889.15,47409.07,0.396,0.2285,True,0.9695,25.35,4,0.8704,0.6127,False,True,5,2024-05-01
UC00000175,South,Kochi,salon_spa_premium,648,1088.89,31403.41,0.4807,0.2122,True,0.9595,25.54,5,0.575,0.6605,True,False,0,
UC00000176,North,Jaipur,plumbing_electrical,413,460.44,7586.55,0.3656,0.1702,True,0.9341,15.86,2,0.534,0.46,False,False,0,
UC00000177,South,Hyderabad,plumbing_electrical,1186,600.64,21218.51,0.6584,0.1596,True,0.9597,34.73,4,0.782,0.4929,True,False,0,
UC00000178,East,Patna,beauty_wellness,996,1000.79,44534.97,0.5495,0.2378,True,0.9941,41.78,3,0.5254,0.6599,False,True,6,2024-06-01
UC00000179,North,Lucknow,salon_spa_premium,204,1761.76,78445.94,0.4006,0.2454,True,0.9273,48.39,2,0.4995,0.4134,False,False,0,
